,Kor,Eng,babelnet_sense,index,korWSD,FastAlign1st,FastAlign2nd
49,결국, finally, bn:00115252r,20,1,1,1
40,통증, pain, bn:00045286n,95,1,1,1
39,회로, circuit, bn:00019182n,95,1,1,1
21,팔, arm, bn:00005702n,126,1,0,1
28,컴퓨터, computer, bn:00021464n,182,1,0,1
7,감사하다, thank, bn:00088854v,198,0,1,1
48,위험, risk, bn:00030747n,226,1,0,1
34,이야기, story, bn:00056857n,313,1,0,1
19,유산, legacy, bn:00009992n,414,0,1,1
9,오전, morning, bn:00035851n,485,1,0,1
18,투자, invest, bn:00047358n,494,1,0,1
38,소식, news, bn:00047028n,534,1,1,1
5,방식, way, bn:00054625n,624,1,0,1
6,영혼, soul, bn:27270230n,624,1,0,1
42,선생님, teacher, bn:00046958n,684,1,1,1
41,가르치다, teach, bn:00089791v,684,0,0,1
0,경제, economic, bn:00102001a,770,1,0,1
1,상황, situation, bn:00071869n,770,1,0,1
46,아이, kid, bn:00018345n,773,0,0,1
47,정원, garden, bn:00037300n,880,1,0,1
31,가족, family, bn:00032893n,888,0,0,1
30,흥미롭다, interesting, bn:00105276a,888,0,1,1
2,조언, advice, bn:00001592n,904,0,0,1
17,주다, give, bn:00088815v,916,0,0,0
16,자전거, bicycle, bn:00010248n,916,1,1,1
43,같이, together, bn:00117320r,1056,0,0,1
33,입자, particle, bn:00060802n,1061,1,1,1
11,핵, nucleus, bn:00058260n,1095,0,0,1
13,중력, gravity, bn:00041491n,1095,0,0,1
12,힘, force, bn:00035768n,1095,0,1,1
20,주류, mainstream, bn:00052865n,1101,0,0,1
27,창조, creation, bn:00023652n and bn:00021550n,1107,1,0,1
32,만들다, build, bn:00084198v,1163,0,0,1
24,감정, emotion, bn:00030581n,1400,1,0,1
29,빈곤, poverty, bn:00046157n,1519,1,0,1
44,실제, real, bn:00102543a,1536,1,0,1
45,운석, meteorite, bn:00054602n,1536,1,0,1
15,읽다, read, bn:00092426v,1551,0,0,1
8,석탄, coal, bn:00020133n,1609,1,1,1
10,어떻다, how, bn:13703918r,1622,0,1,1
26,연구, study, bn:00074791n,1651,1,0,1
25,이미, already, bn:00114245r,1651,1,1,1
35,인터넷, internet, bn:00024712n,1736,1,0,1
4,멀리, far, bn:00115323r,1750,1,0,0
3,속담, proverb, bn:00001236n,1750,0,0,1
22,희망, hoep, bn:15688867n,1826,1,0,1
23,선택, choice, bn:00018661n,1826,0,0,1
14,매체, media, bn:00054149n,1836,0,0,1
36,배우다, learn, bn:00082281v,1853,0,0,1
37,창문, window, bn:00081285n,1853,1,0,1
